"","PLAYER_NAME","YEAR","POS","MIN","GP","PER","WS","TS_PCT","PTS","FTA","TD3"
"138","Maurice Harkless","2019-2020","SF",23.0161290322581,62,9.7,2.7,0.572,5.8,1.1,0
"139","Montrezl Harrell","2019-2020","C",27.7619047619048,63,23.1,7,0.607,18.6,5.6,0
"140","Gary Harris","2019-2020","SG",31.7857142857143,56,9.7,2.2,0.519,10.4,1.6,0
"141","Joe Harris","2019-2020","SF",30.859375,64,12.7,3.8,0.592,14.1,1.3,0
"142","Tobias Harris","2019-2020","PF",34.5076923076923,65,16.8,5.6,0.557,19.5,2.9,0
"143","Josh Hart","2019-2020","SF",27.3275862068966,58,11.7,2.8,0.557,10.1,1.6,0
"144","Jaxson Hayes","2019-2020","C",17.0175438596491,57,17.7,3.5,0.674,7.4,3,0
"145","Gordon Hayward","2019-2020","SF",33.3913043478261,46,18.1,5,0.591,17.4,2.6,0
"146","John Henson","2019-2020","PF",15,40,17,1.4,0.578,5.5,1.2,0
"147","Juancho Hernangomez","2019-2020","PF",17.3541666666667,48,10.4,1,0.518,6,1.5,0
"148","Willy Hernangomez","2019-2020","C",12.0967741935484,31,19.2,0.8,0.576,6.1,1.9,0
"149","Tyler Herro","2019-2020","SG",27.2340425531915,47,11.4,0.9,0.534,12.8,1.6,0
"150","Mario Hezonja","2019-2020","PF",16.4583333333333,48,9.6,0.8,0.534,4.8,1.1,0
"151","Buddy Hield","2019-2020","SG",31.7538461538462,65,16,2.9,0.562,19.5,2,0
"152","George Hill","2019-2020","PG",21.3396226415094,53,17.3,5.1,0.666,9.4,1.6,0
"153","Solomon Hill","2019-2020","SF",18.3703703703704,54,9.8,1.3,0.542,5.3,0.8,0
"154","Aaron Holiday","2019-2020","PG",23.5862068965517,58,11.7,1.7,0.517,9.5,1.3,0
"155","Jrue Holiday","2019-2020","SG",34.9642857142857,56,17.5,4,0.535,19.3,3,1
"156","Justin Holiday","2019-2020","SG",24.8769230769231,65,12.7,4,0.598,8.4,0.9,0
"157","Rondae Hollis-Jefferson","2019-2020","SF",19.1923076923077,52,15.5,3.2,0.533,7.1,2.4,0
"158","Richaun Holmes","2019-2020","C",28.725,40,20.3,4.7,0.686,12.7,2.6,0
"159","Rodney Hood","2019-2020","SF",29.4761904761905,21,12.2,1.1,0.625,11,1.3,0
"160","Al Horford","2019-2020","C",30.8,60,15.6,5,0.526,12,1.2,0
"161","Danuel House Jr.","2019-2020","SF",30.1864406779661,59,11.5,3.6,0.576,10.5,1.5,0
"162","Dwight Howard","2019-2020","C",19.1269841269841,63,18.6,5.1,0.694,7.4,2.9,0
"163","Kevin Huerter","2019-2020","SG",31.4285714285714,56,11.5,1.6,0.536,12.2,1.1,0
"164","De'Andre Hunter","2019-2020","SF",32.031746031746,63,8.6,0.1,0.521,12.3,2.3,0
"165","Chandler Hutchison","2019-2020","SF",18.8214285714286,28,12.4,0.7,0.521,7.8,2.8,0
"166","Serge Ibaka","2019-2020","C",27.54,50,18,3.9,0.593,15.8,2.3,0
"167","Ersan Ilyasova","2019-2020","PF",15.9473684210526,57,15.2,3.4,0.595,6.7,1.4,0
"168","Joe Ingles","2019-2020","SF",29.9692307692308,65,12.4,4.4,0.59,9.8,1.3,0
"169","Brandon Ingram","2019-2020","PF",34.2280701754386,57,19.1,5,0.588,24.1,5.9,0
"170","Kyrie Irving","2019-2020","PG",32.9,20,26.3,2.9,0.595,27.4,5.1,1
"171","Jonathan Isaac","2019-2020","SF",29.2424242424242,33,17.3,2.5,0.552,11.9,2.3,0
"172","Wes Iwundu","2019-2020","SF",18,45,9.9,1.3,0.521,5.2,1.7,0
"173","Frank Jackson","2019-2020","PG",12.6923076923077,52,7.7,0,0.5,5.6,1.2,0
"174","Jaren Jackson Jr.","2019-2020","C",28.2727272727273,55,16.2,3.3,0.592,17.3,3.2,0
"175","Josh Jackson","2019-2020","SG",19.4736842105263,19,14.4,0.5,0.544,9.8,2.4,0
"176","Justin Jackson","2019-2020","PF",15.8813559322034,59,9.9,1.2,0.496,5.6,0.7,0
"177","Reggie Jackson","2019-2020","PG",24.5833333333333,24,14.4,0.8,0.528,12.8,2,0
"178","LeBron James","2019-2020","PG",34.9016393442623,61,25.7,9.5,0.579,25.5,5.7,13
"179","Cameron Johnson","2019-2020","PF",20.42,50,12.3,1.9,0.58,8.4,1,0
"180","James Johnson","2019-2020","PF",19.34375,32,14.8,1.2,0.572,8.4,1.5,0
"181","Tyler Johnson","2019-2020","SG",16.6875,32,8.4,0.2,0.483,5.8,1.2,0
"182","Nikola Jokic","2019-2020","C",32.3230769230769,65,25,9.2,0.604,20.2,4.2,12
"183","Damian Jones","2019-2020","C",16.1272727272727,55,15.5,2.8,0.712,5.6,1.5,0
"184","Derrick Jones Jr.","2019-2020","SF",24.4901960784314,51,14.8,3.9,0.609,8.8,2.2,0
"185","Tyus Jones","2019-2020","PG",18.9538461538462,65,15.7,2.9,0.532,7.4,0.9,0
"186","DeAndre Jordan","2019-2020","C",22.0357142857143,56,20,5.2,0.682,8.3,2.2,0
"187","Cory Joseph","2019-2020","PG",24.0769230769231,65,10.3,2.2,0.513,6.2,0.9,0
"188","Frank Kaminsky","2019-2020","C",22.0606060606061,33,14.3,1.3,0.55,10.6,2.6,0
"189","Enes Kanter","2019-2020","C",17.3461538461538,52,21.8,3.9,0.593,8.1,1.8,0
"190","Luke Kennard","2019-2020","SG",32.9285714285714,28,14.4,1.9,0.59,15.8,2.7,0
"191","Maxi Kleber","2019-2020","C",25.8059701492537,67,13.6,4.6,0.602,9,1.2,0
"192","Brandon Knight","2019-2020","PG",18.48,25,8.5,-0.1,0.503,7.3,1.4,0
"193","Kevin Knox II","2019-2020","SF",17.9384615384615,65,8.4,0.2,0.47,6.4,1.6,0
"194","Furkan Korkmaz","2019-2020","SG",21.84375,64,11.7,2.3,0.571,9.6,1.2,0
"195","Luke Kornet","2019-2020","C",15.5277777777778,36,12.7,1.1,0.539,6,0.8,0
"196","Kyle Korver","2019-2020","SF",16.6078431372549,51,11.2,2.2,0.613,6.7,0.7,0
"197","Rodions Kurucs","2019-2020","PF",12.925,40,8.7,0.6,0.559,4.2,0.8,0
"198","Kyle Kuzma","2019-2020","PF",24.7090909090909,55,11.7,1.6,0.526,12.6,2.5,0
"199","Skal Labissiere","2019-2020","C",17.1818181818182,33,15.4,1.4,0.588,5.8,1,0
"200","Jeremy Lamb","2019-2020","SG",28.0652173913043,46,14.1,2.7,0.547,12.5,2.4,0
"201","Zach LaVine","2019-2020","SG",34.75,60,19.5,4,0.568,25.5,5.6,0
"202","Jake Layman","2019-2020","PF",21.9565217391304,23,10.3,0.3,0.544,9.1,1.4,0
"203","Courtney Lee","2019-2020","SG",14.375,24,10.9,0.7,0.629,4.5,0.3,0
"204","Damion Lee","2019-2020","SG",29.0408163265306,49,12.7,1.7,0.548,12.7,2.6,0
"205","Alex Len","2019-2020","C",18.265306122449,49,18,2.3,0.596,8.3,1.9,0
"206","Kawhi Leonard","2019-2020","SF",32.2307692307692,52,26.7,7.8,0.587,26.8,7.1,1
"207","Meyers Leonard","2019-2020","C",20.1428571428571,49,11.1,2.1,0.64,6.1,0.5,0
"208","Caris LeVert","2019-2020","SG",28.975,40,15,1.1,0.507,18.1,4.3,1
"209","Damian Lillard","2019-2020","PG",37.0338983050847,59,26,9.7,0.618,28.9,7.6,1
"210","Kevon Looney","2019-2020","C",13.1,20,9.4,0,0.403,3.4,0.6,0
"211","Brook Lopez","2019-2020","C",26.6290322580645,62,14,4.7,0.538,11.2,2.1,0
"212","Robin Lopez","2019-2020","C",14.3606557377049,61,11.1,1.7,0.571,5.5,0.7,0
"213","Kevin Love","2019-2020","PF",31.7857142857143,56,17.9,3.8,0.599,17.6,3.9,0
"214","Kyle Lowry","2019-2020","PG",36.5576923076923,52,17.9,6.8,0.589,20,5.9,2
"215","Timothe Luwawu-Cabarrot","2019-2020","SG",17.3,40,9.8,1.2,0.581,6.8,1.7,0
"216","Trey Lyles","2019-2020","PF",20.1746031746032,63,12.7,2.2,0.557,6.4,0.7,0
"217","Ian Mahinmi","2019-2020","C",21.2631578947368,38,14.1,1.4,0.545,7.4,3,0
"218","Thon Maker","2019-2020","C",12.9333333333333,60,13.7,1.5,0.582,4.7,1.8,0
"219","Lauri Markkanen","2019-2020","PF",29.84,50,14.3,2.6,0.56,14.7,3.1,0
"220","Caleb Martin","2019-2020","SF",17.6111111111111,18,12,0.5,0.595,6.2,1.2,0
"221","Cody Martin","2019-2020","SF",18.8125,48,10.5,1,0.505,5,1.4,0
"222","Kelan Martin","2019-2020","SF",15.9677419354839,31,9.2,0.2,0.506,6.4,1,0
"223","Garrison Mathews","2019-2020","SG",12.6111111111111,18,13.1,0.6,0.691,5.4,1.9,0
"224","Wesley Matthews","2019-2020","SG",24.6825396825397,63,8.4,3.2,0.546,7.5,1,0
"225","Patrick McCaw","2019-2020","SF",24.5405405405405,37,7.3,1.4,0.5,4.6,0.5,0
"226","CJ McCollum","2019-2020","SG",36.1111111111111,63,17.6,3.9,0.547,22.6,2.6,0
"227","T.J. McConnell","2019-2020","PG",18.8571428571429,63,16.2,2.9,0.541,6.5,0.6,0
"228","Doug McDermott","2019-2020","PF",20.0322580645161,62,14.3,3,0.626,10.4,0.9,0
"229","JaVale McGee","2019-2020","C",16.6774193548387,62,20.2,4.6,0.656,6.7,1.2,0
"230","Rodney McGruder","2019-2020","SG",14.98,50,6.5,0.8,0.472,3.2,0.5,0
"231","Alfonzo McKinnie","2019-2020","SF",14.825,40,8.7,0.2,0.493,4.6,0.8,0
"232","Jordan McLaughlin","2019-2020","PG",19.6666666666667,30,16.3,1.6,0.587,7.6,1.3,0
"233","Ben McLemore","2019-2020","SG",22.671875,64,11.8,3.1,0.629,9.9,1,0
"234","Jordan McRae","2019-2020","SG",21.1891891891892,37,14.2,0.7,0.515,11.5,2.9,0
"235","Nicolo Melli","2019-2020","C",17.0377358490566,53,12.2,1.8,0.581,6.7,1.2,0
"236","De'Anthony Melton","2019-2020","PG",19.6415094339623,53,14.4,1.8,0.524,7.9,2.1,0
"237","Khris Middleton","2019-2020","SF",30.1071428571429,56,21.3,7.4,0.614,21.1,3.6,0
"238","Patty Mills","2019-2020","PG",22.6984126984127,63,14.7,2.6,0.589,11.6,1.8,0
"239","Paul Millsap","2019-2020","PF",24.4318181818182,44,17.7,3.4,0.598,11.9,2.8,0
"240","Shake Milton","2019-2020","SG",19.09375,32,15.2,1.7,0.633,9.2,1.5,0
"241","Donovan Mitchell","2019-2020","SG",34.390625,64,19.1,5.4,0.56,24,4.6,0
"242","Malik Monk","2019-2020","SG",21.2545454545455,55,12.7,0.7,0.53,10.3,1.8,0
"243","E'Twaun Moore","2019-2020","SG",18.6923076923077,52,11.2,0.9,0.51,8.4,0.8,0
"244","Ja Morant","2019-2020","PG",30.2,60,17.9,3.4,0.564,17.8,4.6,1
"245","Marcus Morris Sr.","2019-2020","SF-PF",31.1785714285714,56,14.5,3.1,0.564,16.9,3.7,0
"246","Markieff Morris","2019-2020","PF",20.9245283018868,53,12.4,1.2,0.568,9.8,1.5,0
"247","Monte Morris","2019-2020","PG",21.5692307692308,65,14.9,3.4,0.537,8.5,1.1,0
"248","Emmanuel Mudiay","2019-2020","PG",15.5510204081633,49,13.3,1.1,0.546,7.2,1.5,0
"249","Dejounte Murray","2019-2020","PG",24.8813559322034,59,17,2.6,0.534,10.9,1.6,0
"250","Jamal Murray","2019-2020","PG",32.8,55,17.5,4.2,0.559,18.8,3.2,0
"251","Svi Mykhailiuk","2019-2020","SF",22.5892857142857,56,11.2,1.6,0.578,9,1.3,0
"252","Abdel Nader","2019-2020","SF",15.75,48,11.2,1.1,0.58,5.9,1.3,0
"253","Larry Nance Jr.","2019-2020","C",26.2857142857143,56,17.3,3.9,0.608,10.1,1.3,0
"254","Shabazz Napier","2019-2020","PG",24.25,52,14.3,1.8,0.551,10.3,2.7,1
"255","Georges Niang","2019-2020","PF",13.3050847457627,59,11.9,1.6,0.599,5.7,0.4,0
"256","Nerlens Noel","2019-2020","C",18.4363636363636,55,21.7,4.8,0.714,7.6,1.8,0
"257","Frank Ntilikina","2019-2020","PG",20.8245614035088,57,9.8,0.9,0.497,6.3,1,0
"258","Kendrick Nunn","2019-2020","SG",29.7741935483871,62,13.5,2.4,0.545,15.6,1.5,0
"259","David Nwaba","2019-2020","SF",13.4,20,14,0.8,0.627,5.2,1.4,0
